,Title,Type,Genres,Release_year,IMDB_Popularity,IMDB_Score
2356,Under the Riccione Sun,MOVIE,['comedy'],2020,10.01,
2357,The Swarm,MOVIE,"['horror', 'drama', 'fantasy', 'european']",2020,9.99,5.3
2358,How to Get Over a Breakup,MOVIE,['comedy'],2018,9.983,6.1
2359,Rocko's Modern Life: Static Cling,MOVIE,"['comedy', 'animation', 'fantasy', 'scifi', 'action', 'family']",2019,9.975,6.9
2360,The Movies That Made Us,SHOW,"['history', 'documentation', 'family']",2019,9.973,7.6
2361,Holy Goalie,MOVIE,"['comedy', 'sport', 'european']",2018,9.971,5.3
2362,The Alpinist,MOVIE,['documentation'],2021,9.969,8
2363,Vampires vs. the Bronx,MOVIE,"['comedy', 'horror']",2020,9.968,5.7
2364,Raising the Bar,MOVIE,"['drama', 'family', 'documentation', 'sport']",2017,9.966,5.5
2365,Atlantics,MOVIE,"['fantasy', 'drama', 'romance']",2019,9.961,6.7
2366,Mercy,MOVIE,"['thriller', 'drama']",2016,9.957,4.1
2367,Welcome to the Family,SHOW,['comedy'],2018,9.95,6.6
2368,Octonauts and the Caves of Sac Actun,MOVIE,"['animation', 'comedy', 'family']",2020,9.947,6.2
2369,"Bikram: Yogi, Guru, Predator",MOVIE,"['crime', 'documentation']",2019,9.946,6.7
2370,Summerland,MOVIE,"['romance', 'drama', 'war']",2020,9.936,7
2371,Between Two Ferns: The Movie,MOVIE,['comedy'],2019,9.934,6.1
2372,The Comey Rule,SHOW,"['war', 'drama']",2020,9.914,7.4
2373,The Most Hated Woman in America,MOVIE,"['drama', 'history']",2017,9.912,6.1
2374,A Very Secret Service,SHOW,"['comedy', 'european']",2015,9.908,7.7
2375,The Last Laugh,MOVIE,['comedy'],2019,9.907,5.6
2376,Girl on the Third Floor,MOVIE,"['thriller', 'drama', 'horror']",2019,9.904,4.7
2377,Kiss the Ground,MOVIE,['documentation'],2020,9.895,8.2
2378,PK,MOVIE,"['comedy', 'drama', 'romance', 'fantasy', 'scifi']",2014,9.887,8.2
2379,Chris Distefano: Speshy Weshy,MOVIE,['comedy'],2022,9.88,
2380,Bill Nye Saves the World,SHOW,['comedy'],2017,9.87,3.5
2381,Coffee & Kareem,MOVIE,"['action', 'comedy', 'crime']",2020,9.863,5.1
2382,The Crystal Calls - Making The Dark Crystal: Age of Resistance,MOVIE,['documentation'],2019,9.84,7.6
2383,The Forest of Love,MOVIE,"['drama', 'thriller', 'crime', 'horror']",2019,9.833,6.3
2384,Tony Robbins: I Am Not Your Guru,MOVIE,['documentation'],2016,9.812,6.7
2385,Bareilly Ki Barfi,MOVIE,"['romance', 'comedy']",2017,9.807,7.5
2386,The Awakening of Motti Wolkenbruch,MOVIE,"['comedy', 'drama', 'european']",2018,9.799,6.6
2387,I Am the Pretty Thing That Lives in the House,MOVIE,"['thriller', 'drama', 'horror']",2016,9.791,4.6
2388,Shirkers,MOVIE,['documentation'],2018,9.789,7.4
2389,The Mechanism,SHOW,"['drama', 'thriller', 'crime']",2018,9.788,8
